Melbourne CBD|melbourne-cbd|3000|inner|Inner Melbourne|high-rise apartments and compact city residences|concierge entry, lift bookings and loading-bay timing|metered streets, commercial car parks and timed loading zones|apartment resets shaped around secure access and concentrated kitchen and bathroom use|carpeted bedrooms and living areas reached through shared entries
Docklands|docklands|3008|inner|Inner Melbourne|waterfront apartments and newer multi-residential buildings|building managers, secure lifts and apartment-level entry instructions|visitor bays, loading docks and paid parking with building-specific limits|scheduled apartment cleaning that accounts for vertical access and building rules|modern apartment carpets requiring planned lift and equipment access
Southbank|southbank|3006|inner|Inner Melbourne|tower apartments, riverside residences and compact inner-city homes|concierge desks, intercom access and booked service lifts|limited street spaces, paid facilities and short loading windows|one-off and regular cleaning organised around high-rise access restrictions|carpeted rooms where airflow and drying plans matter
Parkville|parkville|3052|inner|Inner Melbourne|apartments, terraces and larger homes near institutional precincts|shared entrances, permit-controlled streets and key handover plans|restricted kerbside spaces and permit zones|flexible cleaning for mixed home sizes and carefully selected priorities|bedroom carpets, runners and older fibres needing condition review
Fitzroy|fitzroy|3065|inner|Inner Melbourne|terraces, warehouse apartments and compact period homes|narrow entries, stairs and shared apartment corridors|busy kerbs, resident permits and paid spaces|detailed cleaning for high-use inner-city homes with varied layouts|stairs, rugs and carpeted rooms with constrained access
Collingwood|collingwood|3066|inner|Inner Melbourne|converted apartments, terraces and mixed-density residences|secure foyers, internal stairs and laneway-facing entrances|scarce street parking, timed bays and loading areas|targeted cleaning for kitchens, bathrooms and compact rooms|apartment carpet and internal stairs needing clear equipment routes
Abbotsford|abbotsford|3067|inner|Inner Melbourne|riverside apartments, terraces and renovated houses|shared building access, townhouse stairs and rear-lane entry|permit streets, visitor bays and mixed-use parking|regular maintenance for compact rooms and active living areas|carpeted bedrooms and stairs affected by pets and traffic
Richmond|richmond|3121|inner|Inner Melbourne|apartments, terraces and family houses across busy residential pockets|intercoms, narrow hallways and address-specific rear access|permit areas, paid bays and restricted retail-street parking|adaptable cleaning for apartments, shared homes and multi-room properties|bedroom carpet and stairs with stains, furniture and access considerations
Burnley|burnley|3121|inner|Inner Melbourne|compact houses, apartments and homes near transport corridors|shared foyers, side passages and limited set-down space|short-stay kerbside parking and nearby restrictions|efficient recurring cleaning and focused one-off resets|carpeted bedrooms and living zones needing drying plans
Carlton|carlton|3053|inner|Inner Melbourne|terraces, student apartments and established city residences|shared entries, upper-floor stairs and key collection|resident permits, university restrictions and paid street bays|flexible choices for shared households and compact apartments|well-used bedroom carpet and stairs needing stain notes
Northcote|northcote|3070|north|Northern Melbourne|weatherboard houses, apartments and renovated family homes|front paths, side gates and shared driveways|residential streets with activity-centre restrictions|recurring care plus deeper resets for detailed older interiors|family-room carpet affected by pets and foot traffic
Fairfield|fairfield|3078|north|Northern Melbourne|established houses, townhouses and low-rise apartments|driveways, shared paths and rear or side entrances|residential parking tighter near local shops|balanced whole-home care and periodic detailed attention|bedroom carpet where furniture placement affects access
Brunswick|brunswick|3056|north|Northern Melbourne|terraces, apartments, share houses and renovated period homes|narrow hallways, apartment stairs and rear-lane access|permit streets and busy parking near retail corridors|regular resets for shared kitchens, bathrooms and living rooms|high-use bedroom carpet and stairs needing coordinated access
Coburg|coburg|3058|north|Northern Melbourne|family houses, units and apartments on varied residential streets|front drives, shared unit access and side gates|residential kerbs busier around activity centres|multi-room family cleaning and recurring household upkeep|bedroom and lounge carpet affected by children, pets and traffic
Preston|preston|3072|north|Northern Melbourne|family homes, townhouses, units and newer apartments|driveways, shared developments and apartment intercoms|parking tighter near shopping and transport areas|flexible recurring cleaning across different home sizes|carpeted bedrooms, stairs and living rooms in varied housing
Reservoir|reservoir|3073|north|Northern Melbourne|detached houses, units and growing townhouse developments|longer driveways, shared unit paths and side access|residential streets with property-specific driveway instructions|whole-home maintenance for larger layouts and busy family zones|multiple carpeted bedrooms requiring clear room counts
Thornbury|thornbury|3071|north|Northern Melbourne|period houses, apartments and compact townhouses|front paths, apartment entries and narrow side passages|permit controls and busy kerbs near High Street|regular care for active kitchens and mixed old-new interiors|bedroom carpet and runners with potentially older fibres
Hawthorn|hawthorn|3122|east|Eastern Melbourne|apartments, period houses and larger family residences|secure buildings, sloped paths and multi-level access|permit streets and limited bays near commercial precincts|scoped cleaning for apartments, stairs and family routines|stairs, bedrooms and formal-room carpet across levels
Camberwell|camberwell|3124|east|Eastern Melbourne|larger family houses, units and renovated period homes|driveways, side gates and multi-level interiors|parking busier near shopping and rail areas|structured whole-home care for larger room counts|multiple carpeted rooms and stairs with furniture considerations
Kew|kew|3101|east|Eastern Melbourne|apartments, townhouses and substantial established homes|gated entries, shared developments and sloping access|driveways plus permit or timed streets|custom plans for multi-level homes and detailed one-off work|carpeted stairs, bedrooms and formal rooms needing room-by-room scope
Balwyn|balwyn|3103|east|Eastern Melbourne|family homes, townhouses and spacious multi-room properties|driveways, gates and internal stairs|residential kerbs and on-property parking|recurring whole-home support with agreed priorities|extensive bedroom and living carpet needing sequenced drying zones
Box Hill|box-hill|3128|east|Eastern Melbourne|apartments, units and family homes near a major centre|secure apartment entry, shared lifts and residential driveways|paid and timed central spaces with quieter outer streets|apartment care and family-home maintenance shaped by access|apartment or multi-room carpet affected by unloading distance
South Yarra|south-yarra|3141|south|Bayside & South Melbourne|apartments, terraces and polished multi-level residences|concierge buildings, intercoms and narrow internal stairs|permit streets, paid bays and limited loading|regular apartment care and presentation-focused detailed resets|bedroom and stair carpet needing airflow and access planning
Prahran|prahran|3181|south|Bayside & South Melbourne|apartments, terraces and compact homes near commercial streets|shared foyers, stairs and laneway entrances|dense permit areas, timed bays and paid parking|focused cleaning for smaller layouts and moving preparation|compact carpeted rooms and stairs with equipment constraints
Windsor|windsor|3181|south|Bayside & South Melbourne|compact apartments, terraces and converted residences|upper-floor stairs, intercom entry and narrow corridors|limited kerbside parking near Chapel Street|hourly priorities and regular compact-home resets|bedroom carpet and runners reached through narrow access
St Kilda|st-kilda|3182|south|Bayside & South Melbourne|apartments, older flats and houses near the bayside|shared entrances, external stairs and secure foyers|permit streets, event pressure and paid parking|apartment maintenance, move cleans and periodic deep care|older apartment carpet affected by sand and foot traffic
Balaclava|balaclava|3183|south|Bayside & South Melbourne|apartments, terraces and compact family residences|shared hallways, rear paths and stair access|permit controls and tight parking near Carlisle Street|practical recurring care for compact, busy homes|bedroom carpet and stairs requiring cleared access routes
Ripponlea|ripponlea|3185|south|Bayside & South Melbourne|apartments, period houses and smaller residential blocks|shared entries, front paths and narrow side access|parking tighter near the station|measured plans for smaller homes and moving support|carpeted rooms with older fibres and stain considerations
Albert Park|albert-park|3206|south|Bayside & South Melbourne|terraces, townhouses and refined period residences|narrow halls, rear access and multi-level interiors|permit zones and limited bays near the lake|consistent care for detailed interiors and multiple living spaces|stairs and bedroom carpet needing careful equipment handling
Middle Park|middle-park|3206|south|Bayside & South Melbourne|period terraces, apartments and compact bayside homes|front steps, narrow corridors and rear-lane options|permit parking and constrained residential kerbs|regular maintenance for compact yet detailed homes|bedroom carpet and stair runners shaped by narrow layouts
Elwood|elwood|3184|south|Bayside & South Melbourne|apartments, period houses and family homes near the coast|shared apartment entries, garden paths and side gates|permit streets and seasonal foreshore pressure|recurring care for sandy traffic and family routines|bedroom carpet affected by sand, pets and coastal humidity
Elsternwick|elsternwick|3185|south|Bayside & South Melbourne|apartments, family houses and period residences|shared driveways, secure entries and side paths|timed central parking with residential streets beyond|whole-home cleaning across different property sizes|bedrooms, lounges and stairs with address-specific access
Port Melbourne|port-melbourne|3207|south|Bayside & South Melbourne|waterfront apartments, townhouses and workers cottages|concierge desks, service lifts and narrow cottage entries|paid bays, loading restrictions and permit streets|apartment care shaped by buildings or compact cottage layouts|apartment carpet affected by lift bookings and coastal airflow
Toorak|toorak|3142|south|Bayside & South Melbourne|large residences, apartments and multi-level townhouses|gates, intercoms, long driveways and internal stairs|on-property access or permit streets|structured cleaning for larger, carefully prioritised interiors|multiple carpeted rooms and stairs needing advance scope
Malvern|malvern|3144|south|Bayside & South Melbourne|family houses, units and renovated period properties|driveways, side gates and multi-level floor plans|parking tighter near shopping areas|recurring family care and seasonal detailed resets|bedroom and living carpet with varied traffic patterns
Kooyong|kooyong|3144|south|Bayside & South Melbourne|established houses, townhouses and low-density residences|private drives, gates and paths|quiet streets with property-specific parking|careful maintenance for lower-density multi-room homes|bedroom and formal-room carpet needing planned treatment order
Brighton|brighton|3186|south|Bayside & South Melbourne|large family homes, apartments and bayside townhouses|gated drives, secure buildings and multi-level interiors|on-property parking, permits and village restrictions|regular multi-room care for larger household layouts|extensive carpet affected by sand, pets and staged drying
Hampton|hampton|3188|south|Bayside & South Melbourne|family homes, units and townhouses near the bayside|driveways, shared developments and side access|parking tighter near Hampton Street|reliable recurring support for family routines|bedroom and living carpet affected by coastal grit
Ascot Vale|ascot-vale|3032|west|Western Melbourne|family houses, townhouses and apartment developments|shared driveways, front paths and secure entries|restrictions near Union Road and transport stops|balanced family-home care and focused apartment cleaning|bedroom and stair carpet affected by pets and traffic
Moonee Ponds|moonee-ponds|3039|west|Western Melbourne|apartments, period homes and larger family residences|secure foyers, driveways and multi-level access|paid or timed central parking|apartment resets, family cleaning and moving services|apartment and multi-room carpet with changing access
Essendon|essendon|3040|west|Western Melbourne|established family homes, units and apartments|driveways, shared entries and internal stairs|restrictions near shopping and rail areas|scheduled maintenance for varied property sizes|bedrooms, stairs and living carpet with room-specific use
Pascoe Vale|pascoe-vale|3044|west|Western Melbourne|family houses, villa units and townhouse developments|sloping drives, shared paths and side gates|residential parking with property-specific constraints|family-home cleaning and practical one-off resets|bedroom carpet affected by pets, furniture and family traffic
Keilor East|keilor-east|3033|west|Western Melbourne|detached family homes, townhouses and larger blocks|driveways, gates and longer paths|on-property parking or residential kerbs|whole-home recurring support for larger layouts|multiple carpeted rooms needing planned unloading
Footscray|footscray|3011|west|Western Melbourne|apartments, terraces and family homes near a dense centre|secure buildings, rear lanes and narrow internal access|paid parking, permits and busy commercial restrictions|apartment cleaning, shared-home resets and moving services|apartment carpet where loading access shapes setup
Yarraville|yarraville|3013|west|Western Melbourne|period houses, townhouses and village apartments|front paths, rear lanes and shared developments|timed village parking with quieter streets beyond|care balancing period details and active family areas|bedroom carpet and runners reached through older layouts
